model,cost_bps,cagr,ann_vol,sharpe,max_drawdown,annual_turnover,total_cost,total_transaction_cost,total_borrow_cost,avg_gross,final_nav,n_periods,start,end
HV21,0.0,0.05243838015782698,0.08073241559350183,0.6735252773734186,-0.14716268849584568,22.00105192356292,0.021618545146040242,0.0,0.021618545146040242,0.9798305471170381,2.0415534106308244,3519,2012-01-03,2025-12-31
HV21,5.0,0.0409244355175622,0.08076670173056469,0.537049958917083,-0.16169655587920162,21.99804927067277,0.17521966603583325,0.153601120889793,0.021618545146040245,0.9798305471170381,1.7508411149116028,3519,2012-01-03,2025-12-31
HV21,10.0,0.029536380304276966,0.08083251317440933,0.40057076989339047,-0.17598277956938602,21.995093137272427,0.3287794952617849,0.3071609501157447,0.021618545146040242,0.9798305471170381,1.50152400172877,3519,2012-01-03,2025-12-31
HV21,20.0,0.007131924756010433,0.08105821964679388,0.12823206082202457,-0.2185986570263787,21.989444125398308,0.6357826337540096,0.6141640886079693,0.021618545146040242,0.9798305471170381,1.1043299516014333,3519,2012-01-03,2025-12-31
EWMA,0.0,0.05331616864764954,0.08032653398513874,0.6869013210672844,-0.14341826259892343,20.838013895148347,0.021514897823310834,0.0,0.021514897823310834,0.9789301344542639,2.0654602480115885,3519,2012-01-03,2025-12-31
EWMA,5.0,0.042399190861799774,0.08035823059964012,0.556989993511078,-0.15743405010257916,20.83403010927917,0.16699024570256088,0.14547534787925004,0.021514897823310834,0.9789301344542639,1.7858001065452933,3519,2012-01-03,2025-12-31
EWMA,10.0,0.03159636337854965,0.0804207990284204,0.4270654689805176,-0.17126818417956513,20.830144435004584,0.3124113020658245,0.2908964042425137,0.021514897823310834,0.9789301344542639,1.5440264712670229,3519,2012-01-03,2025-12-31
EWMA,20.0,0.010327728814331527,0.08063807720677982,0.1677670829808018,-0.21133478489493662,20.822687009848284,0.6030992921985063,0.5815843943751955,0.021514897823310834,0.9789301344542639,1.1542833958459258,3519,2012-01-03,2025-12-31
Ridge,0.0,0.050061122771519306,0.07998188577106997,0.6508144095592132,-0.13323536920546342,23.20211456568439,0.021963219835131977,0.0,0.021963219835131977,0.9825310232338206,1.9780918345998417,3519,2012-01-03,2025-12-31
Ridge,5.0,0.037949796469836095,0.08001989718117283,0.5055450801518433,-0.14856693063886084,23.198856904603343,0.18394472290189273,0.16198150306676076,0.021963219835131977,0.9825310232338206,1.682252360400264,3519,2012-01-03,2025-12-31
Ridge,10.0,0.025978288518080372,0.08008939575953987,0.3603117456122593,-0.16377635536378932,23.195677131001773,0.34588177644229584,0.32391855660716384,0.021963219835131977,0.9825310232338206,1.4306605258786524,3519,2012-01-03,2025-12-31
Ridge,20.0,0.0024481433604905956,0.08032235002363802,0.07063444311425729,-0.21656521867829304,23.18938978778369,0.66962454720276,0.647661327367628,0.02196321983513198,0.9825310232338206,1.034734419954088,3519,2012-01-03,2025-12-31
LightGBM,0.0,0.049753300543451395,0.08118308055880762,0.6387710053346201,-0.13875403680847076,27.20592000711324,0.0218341411045362,0.0,0.0218341411045362,0.9850578351436549,1.9700097107810806,3519,2012-01-03,2025-12-31
LightGBM,5.0,0.035570113134299364,0.08121552330546332,0.47102988680348773,-0.15551828497461506,27.202888368477094,0.21178276828531634,0.18994862718078015,0.0218341411045362,0.9850578351436549,1.629187194119568,3519,2012-01-03,2025-12-31
LightGBM,10.0,0.021578301100442898,0.08127907289340024,0.30334373088397043,-0.17218091235761723,27.199873857363894,0.40168925543455175,0.37985511433001556,0.0218341411045362,0.9850578351436547,1.347324183125766,3519,2012-01-03,2025-12-31
LightGBM,20.0,-0.005841589335540909,0.08149903113134976,-0.031097896992842676,-0.27369437357781146,27.193902777153006,0.7813774255974325,0.7595432844928963,0.0218341411045362,0.9850578351436547,0.9214444238012409,3519,2012-01-03,2025-12-31
EqualWeightTrend,0.0,0.041238438993431936,0.0920582026033208,0.4850818768658193,-0.15467295049892027,18.102067470664,0.023478835978835978,0.0,0.023478835978835978,0.9995263806005493,1.7582308713030312,3519,2012-01-03,2025-12-31
EqualWeightTrend,5.0,0.03185636925487412,0.09210928816970887,0.3865853375106357,-0.16655971912401324,18.09973823024077,0.14982302129676034,0.12634418531792435,0.023478835978835978,0.9995263806005493,1.5494696989583665,3519,2012-01-03,2025-12-31
EqualWeightTrend,10.0,0.02255802494319248,0.09218861931562226,0.28813291354624804,-0.17828109600829,18.097608124815086,0.27613731370078015,0.25265847772194416,0.023478835978835978,0.9995263806005493,1.3654803682090875,3519,2012-01-03,2025-12-31
EqualWeightTrend,20.0,0.004208879972539492,0.09243160570294576,0.09171397331512299,-0.23442467043998516,18.09368662470901,0.528685689171425,0.5052068531925891,0.023478835978835978,0.9995263806005493,1.0604047364379257,3519,2012-01-03,2025-12-31
