model,feature_set,ticker,qlike,vol_rmse,vol_mae,calibration,n_obs,n_dates,year
EWMA,baseline,GLD,0.45023692439812985,0.07352684544542659,0.05745510831628467,0.8752112642625414,250,250,2012
EWMA,baseline,SPY,0.42323789913885906,0.05764391489801265,0.046318452537550035,0.9058694999918269,250,250,2012
EWMA,baseline,TLT,0.3173427060112122,0.054638136556075176,0.044538398759709386,0.9272714906573671,250,250,2012
EWMA,baseline,Pooled,0.39693917651606697,0.06248824927468441,0.049437319871181364,0.900972690289773,750,250,2012
HV21,baseline,GLD,0.5245921728537402,0.07658154641759703,0.06113776924413587,0.9053727013805107,250,250,2012
HV21,baseline,SPY,0.46687223978787895,0.05564161177225977,0.04450088199110293,0.9830541825892788,250,250,2012
HV21,baseline,TLT,0.4147632861827333,0.05876408036826638,0.04821399624989124,0.9612003355072485,250,250,2012
HV21,baseline,Pooled,0.4687425662747841,0.06432713101497561,0.05128421582837669,0.945001127932198,750,250,2012
LightGBM,full,GLD,0.4952775997032683,0.07071096984660083,0.053342100357705265,1.0618950853584352,250,250,2012
LightGBM,full,SPY,0.3864140314517909,0.05446504858299316,0.04486042098015543,0.7912214344106058,250,250,2012
LightGBM,full,TLT,0.30342201902822513,0.0512748068827546,0.04020376204985007,1.0305444585390537,250,250,2012
LightGBM,full,Pooled,0.3950378833944281,0.05942947808020998,0.046135427795903586,0.9597875417534769,750,250,2012
LightGBM,no_cross,GLD,0.4536394925234924,0.06978987956332114,0.05373108320730753,1.025762956302161,250,250,2012
LightGBM,no_cross,SPY,0.4474973420135722,0.055132296755702866,0.04490253948118911,0.8818245383276404,250,250,2012
LightGBM,no_cross,TLT,0.3034815134870679,0.05153473380056051,0.04148607938565931,1.0165406990765313,250,250,2012
LightGBM,no_cross,Pooled,0.4015394493413775,0.05934651414339455,0.046706567358051974,0.9779323020559114,750,250,2012
LightGBM,risk_only,GLD,0.5058784060281765,0.08039697831501097,0.06479319610363946,0.7713448490376567,250,250,2012
